text,intent
"Hello, how are you?",0
"What's the weather like today?",0
"Can you tell me a joke?",0
"What's the time?",0
"Tell me a fun fact.",0
"Who is the president?",0
"What's your favorite color?",0
"How old are you?",0
"Do you like music?",0
"Can you help me with my homework?",0
"What do you do?",0
"Can you tell me a story?",0
"What's your name?",0
"Where are you from?",0
"What's your favorite food?",0
"Do you have any hobbies?",0
"Tell me something interesting.",0
"What's the capital of France?",0
"What's the latest news?",0
"Can you dance?",0
"Do you have any friends?",0
"Can you play a game with me?",0
"What's your favorite movie?",0
"Do you have a family?",0
"What's your favorite book?",0
"Can you sing a song?",0
"What's the meaning of life?",0
"Do you like sports?",0
"What's your favorite sport?",0
"Can you swim?",0
"What's your favorite animal?",0
"Can you fly?",0
"Do you dream?",0
"What's your favorite season?",0
"Do you like to travel?",0
"What's your favorite place?",0
"Can you cook?",0
"What's your favorite dessert?",0
"Do you like to read?",0
"What's your favorite subject?",0
"Can you draw?",0
"What's your favorite holiday?",0
"Do you like video games?",0
"What's your favorite game?",0
"Can you tell me a secret?",0
"What's your favorite TV show?",0
"Do you have a pet?",0
"What's your favorite song?",0
"Can you keep a secret?",0
"Move forward.",1
"Go ahead.",1
"Advance.",1
"Step forward.",1
"Move ahead.",1
"Go forward.",1
"Forward.",1
"Proceed forward.",1
"Take a step forward.",1
"Please move forward.",1
"Walk forward.",1
"Move straight.",1
"Continue forward.",1
"Advance ahead.",1
"Forward march.",1
"Proceed ahead.",1
"Move onwards.",1
"Go straight.",1
"Walk ahead.",1
"Step ahead.",1
"Go forwards.",1
"March forward.",1
"Advance forward.",1
"Please advance.",1
"Step onwards.",1
"Forward step.",1
"Continue ahead.",1
"Move onwards.",1
"Proceed straight.",1
"Go onward.",1
"Walk straight.",1
"Advance onwards.",1
"Move forth.",1
"Step forth.",1
"Move up.",1
"Go up.",1
"Proceed up.",1
"Advance up.",1
"Step up.",1
"Forward motion.",1
"Move straight ahead.",1
"Go forth.",1
"Advance forth.",1
"Move forwards.",1
"Step forward.",1
"Proceed forward.",1
"Advance straight.",1
"March ahead.",1
"Reverse.",2
"Move backward.",2
"Go back.",2
"Step back.",2
"Retreat.",2
"Back up.",2
"Reverse motion.",2
"Move back.",2
"Step backward.",2
"Please move backward.",2
"Go backward.",2
"Backward.",2
"Step back.",2
"Retreat backward.",2
"Take a step back.",2
"Move in reverse.",2
"Go in reverse.",2
"Step in reverse.",2
"Reverse direction.",2
"Backwards.",2
"Move back.",2
"Back up please.",2
"Move back please.",2
"Retreat please.",2
"Please reverse.",2
"Go backward please.",2
"Step back please.",2
"Reverse back.",2
"Retreat back.",2
"Move back now.",2
"Step back now.",2
"Please move back.",2
"Please retreat.",2
"Go backwards.",2
"Back it up.",2
"Backwards please.",2
"Move in reverse direction.",2
"Back step.",2
"Please step back.",2
"Back up now.",2
"Move backward now.",2
"Please reverse now.",2
"Take a step backward.",2
"Go back now.",2
"Step back now.",2
"Move back immediately.",2
"Reverse immediately.",2
"Go back immediately.",2
"Turn left.",3
"Move left.",3
"Step left.",3
"Go left.",3
"Turn to the left.",3
"Please turn left.",3
"Move to the left.",3
"Step to the left.",3
"Go to the left.",3
"Turn left now.",3
"Move left now.",3
"Step left now.",3
"Go left now.",3
"Turn left please.",3
"Please move left.",3
"Please step left.",3
"Turn leftwards.",3
"Move leftwards.",3
"Step leftwards.",3
"Go leftwards.",3
"Turn to your left.",3
"Move to your left.",3
"Step to your left.",3
"Go to your left.",3
"Turn leftwards now.",3
"Move leftwards now.",3
"Step leftwards now.",3
"Go leftwards now.",3
"Turn left immediately.",3
"Move left immediately.",3
"Step left immediately.",3
"Go left immediately.",3
"Turn left at once.",3
"Move left at once.",3
"Step left at once.",3
"Go left at once.",3
"Please turn left now.",3
"Please move left now.",3
"Please step left now.",3
"Turn left quickly.",3
"Move left quickly.",3
"Step left quickly.",3
"Go left quickly.",3
"Turn sharply left.",3
"Move sharply left.",3
"Step sharply left.",3
"Go sharply left.",3
"Turn a hard left.",3
"Move a hard left.",3
"Turn right.",4
"Move right.",4
"Step right.",4
"Go right.",4
"Turn to the right.",4
"Please turn right.",4
"Move to the right.",4
"Step to the right.",4
"Go to the right.",4
"Turn right now.",4
"Move right now.",4
"Step right now.",4
"Go right now.",4
"Turn right please.",4
"Please move right.",4
"Please step right.",4
"Turn rightwards.",4
"Move rightwards.",4
"Step rightwards.",4
"Go rightwards.",4
"Turn to your right.",4
"Move to your right.",4
"Step to your right.",4
"Go to your right.",4
"Turn rightwards now.",4
"Move rightwards now.",4
"Step rightwards now.",4
"Go rightwards now.",4
"Turn right immediately.",4
"Move right immediately.",4
"Step right immediately.",4
"Go right immediately.",4
"Turn right at once.",4
"Move right at once.",4
"Step right at once.",4
"Go right at once.",4
"Please turn right now.",4
"Please move right now.",4
"Please step right now.",4
"Turn right quickly.",4
"Move right quickly.",4
"Step right quickly.",4
"Go right quickly.",4
"Turn sharply right.",4
"Move sharply right.",4
"Step sharply right.",4
"Go sharply right.",4
"Turn a hard right.",4
"Move a hard right.",4
"Go right away.",4
